department,cgpa,aptitudeScore,communicationScore,internshipExperience,certifications,skillsCount,placed,package
CSE,7.86,70,82,1,1,4,1,10.31
EEE,10.0,96,55,1,0,5,1,11.57
CSE,8.17,81,64,0,2,6,1,8.71
EEE,8.32,61,60,0,0,6,1,9.88
MECH,8.84,89,54,1,3,3,1,9.89
ECE,7.38,52,51,0,2,5,0,9.97
CSE,6.83,97,94,1,0,5,1,7.84
IT,7.96,82,70,2,2,4,1,12.88
CIVIL,8.04,93,66,0,0,5,1,6.49
MECH,6.34,52,77,2,0,4,0,8.13
CSE,8.14,74,78,0,3,4,1,8.2
CIVIL,8.76,70,86,1,1,1,1,9.43
CSE,6.98,59,58,0,1,2,0,6.12
EEE,8.19,56,76,2,0,6,1,12.38
CSE,8.6,78,56,0,0,2,1,5.85
IT,8.33,79,67,0,4,5,1,10.32
CSE,8.41,87,70,3,0,4,1,13.71
CSE,7.58,65,72,1,0,6,1,9.86
IT,6.79,70,71,1,1,5,1,7.99
MECH,7.4,55,82,0,1,3,0,6.33
CSE,7.27,90,61,1,1,4,1,8.55
IT,7.73,72,72,0,0,1,1,6.02
CIVIL,8.78,80,58,0,0,4,1,9.08
EEE,6.62,81,100,1,0,1,1,5.38
EEE,7.93,89,56,0,3,4,0,8.19
CSE,6.84,62,59,2,0,3,0,7.95
MECH,7.13,80,83,2,2,2,1,10.6
MECH,8.3,71,63,1,2,6,1,11.94
CIVIL,6.73,97,83,1,2,1,0,6.54
CSE,8.46,61,72,1,2,2,1,10.12
EEE,6.58,86,63,0,0,3,0,5.92
MECH,8.4,76,58,1,0,3,1,9.71
CSE,6.41,75,58,0,1,2,0,5.8
MECH,7.24,72,64,0,0,3,0,4.94
IT,9.51,88,67,1,1,5,1,12.22
MECH,9.34,75,57,1,1,5,1,11.26
EEE,7.43,53,68,2,2,5,1,12.37
ECE,8.15,86,53,0,0,1,1,6.74
CIVIL,8.88,84,81,1,3,5,1,11.41
CIVIL,8.41,79,84,0,0,5,1,8.12
EEE,7.55,58,59,1,1,3,0,9.32
MECH,7.13,60,58,1,1,7,1,8.95
CSE,8.58,49,72,1,2,6,1,11.5
MECH,8.82,77,88,0,1,4,1,7.61
EEE,9.34,55,92,0,3,3,1,10.65
CIVIL,6.28,51,48,0,3,7,0,7.69
MECH,6.67,87,85,1,2,4,1,9.24
CIVIL,8.85,81,69,2,0,4,1,12.13
CSE,6.4,68,69,0,2,4,0,6.06
CIVIL,8.91,70,77,1,2,9,1,12.02
CIVIL,7.61,43,62,2,0,4,1,9.37
ECE,7.33,83,86,1,0,4,1,7.69
ECE,7.98,63,91,1,0,2,1,8.99
IT,6.59,75,91,1,0,3,1,5.5
ECE,8.54,42,42,0,1,2,0,6.92
CIVIL,9.32,83,66,0,3,2,1,10.57
EEE,8.58,62,40,0,1,1,0,8.56
CIVIL,7.58,55,58,2,1,6,1,10.61
EEE,6.42,67,40,2,3,4,0,9.76
EEE,6.45,64,76,1,0,4,1,8.17
ECE,6.6,84,73,0,2,4,0,6.53
MECH,7.79,66,63,0,1,4,0,6.73
CSE,7.9,88,58,0,1,7,1,9.32
ECE,8.58,75,74,0,0,2,1,7.6
ECE,6.18,82,54,1,1,5,1,8.21
MECH,8.98,71,53,2,0,5,1,11.5
CSE,8.42,87,51,2,2,6,1,13.31
CIVIL,7.51,58,66,1,0,5,1,9.6
IT,6.73,73,61,0,2,5,1,7.59
IT,8.92,67,64,0,0,1,1,8.04
CIVIL,7.53,88,77,0,0,2,1,7.06
ECE,7.78,89,84,1,1,2,1,8.98
CSE,8.15,72,91,1,0,1,1,7.72
ECE,6.98,56,70,0,2,5,0,8.08
EEE,7.55,77,75,0,3,3,1,7.17
ECE,8.58,52,72,0,2,5,1,9.12
ECE,8.49,91,44,0,0,4,1,8.16
CIVIL,8.5,66,64,0,1,4,1,5.72
CIVIL,6.76,71,64,0,1,7,0,7.31
CIVIL,7.59,63,62,0,2,4,1,8.04
IT,7.44,61,69,2,0,5,1,9.42
EEE,8.18,80,66,1,1,3,1,9.68
CIVIL,8.1,70,55,0,1,6,1,8.57
CSE,7.94,72,67,0,0,2,0,6.46
IT,10.0,59,60,0,0,1,1,9.55
MECH,7.54,82,40,0,1,8,1,9.05
CSE,7.43,83,49,0,2,8,1,9.33
CSE,6.76,69,71,1,3,1,1,7.49
CIVIL,6.42,87,86,1,1,4,1,7.59
MECH,6.7,70,40,1,0,4,0,8.29
MECH,7.15,81,56,0,0,5,1,6.21
IT,8.98,52,76,1,4,7,1,14.62
MECH,7.84,76,83,0,4,2,0,9.24
EEE,7.97,68,63,0,3,2,0,9.64
CIVIL,7.71,73,59,1,2,4,1,8.9
MECH,8.13,73,88,1,0,2,1,8.33
IT,9.06,73,81,2,2,1,1,12.23
EEE,6.01,79,82,1,1,4,1,7.59
ECE,8.9,65,62,2,0,6,1,11.78
ECE,5.54,78,86,2,1,4,1,7.06
EEE,7.83,86,40,1,0,5,1,9.29
IT,9.77,55,86,1,0,5,1,11.03
EEE,8.41,62,69,1,1,2,1,9.02
CIVIL,8.14,63,71,3,1,4,1,12.71
CIVIL,9.6,58,55,1,2,1,1,11.22
ECE,7.17,66,42,0,0,3,0,4.94
MECH,8.19,84,71,1,0,4,1,8.97
IT,8.32,89,78,0,0,4,1,6.82
ECE,7.33,73,80,0,0,1,0,4.91
MECH,7.41,68,78,0,0,2,0,6.07
MECH,7.31,81,75,1,1,5,1,9.49
CIVIL,7.88,43,56,2,1,6,1,11.51
CSE,8.29,59,81,0,2,4,1,9.42
CSE,7.91,44,54,0,4,3,0,8.31
EEE,8.44,59,86,0,1,6,1,7.61
CIVIL,6.03,62,68,1,0,2,0,4.86
MECH,7.6,89,69,0,0,7,0,6.66
IT,6.88,40,82,0,2,1,0,5.0
CSE,8.07,66,85,0,1,6,1,10.0
MECH,8.06,79,81,0,2,5,1,7.43
CSE,7.7,76,57,0,2,9,1,10.19
CSE,8.26,89,81,1,3,2,1,10.39
CSE,8.7,73,57,0,3,1,1,9.02
IT,7.75,76,81,1,1,6,1,9.07
CIVIL,6.85,49,48,0,0,1,0,5.08
IT,6.38,60,68,0,3,5,0,6.52
ECE,7.83,50,57,0,1,6,1,8.84
MECH,8.02,78,83,1,0,5,1,10.03
CIVIL,6.93,76,86,2,1,4,1,9.91
CIVIL,8.45,75,72,2,1,5,1,12.09
CIVIL,7.39,61,72,1,2,6,1,10.31
CIVIL,6.31,60,80,0,1,5,0,6.28
IT,8.93,74,86,1,0,2,1,10.24
CIVIL,8.83,63,70,1,3,8,1,13.69
EEE,5.99,59,62,0,2,4,0,5.86
MECH,7.29,65,79,1,1,5,0,8.57
CIVIL,7.26,64,42,0,0,5,0,7.16
MECH,9.28,61,83,0,0,6,1,9.11
EEE,7.71,57,59,0,1,6,0,8.04
EEE,6.45,77,66,0,0,4,1,5.67
MECH,8.59,90,83,1,0,4,1,10.39
CSE,6.69,71,63,0,1,5,0,6.64
ECE,7.57,74,79,0,1,6,1,7.31
CSE,7.11,78,87,0,1,2,0,7.47
CSE,7.3,76,71,1,0,5,1,9.58
IT,8.64,61,74,1,1,2,1,8.86
CSE,9.17,92,68,0,2,8,1,10.17
CIVIL,6.65,62,71,0,0,5,0,5.15
IT,8.36,79,53,0,0,3,1,7.92
IT,7.14,78,65,2,1,5,1,12.04
EEE,7.17,48,50,0,3,4,0,7.5
CSE,8.24,67,56,0,1,4,0,8.13
EEE,6.87,72,40,0,0,1,0,4.25
MECH,8.22,73,73,1,0,2,1,9.93
ECE,8.46,75,95,1,2,4,1,11.31
IT,7.41,81,63,0,0,1,0,4.83
MECH,8.99,71,84,0,1,3,1,6.91
MECH,6.65,76,86,0,1,3,1,6.62
CIVIL,9.01,71,52,1,0,2,1,9.06
ECE,6.05,59,55,2,2,6,1,10.83
MECH,10.0,72,84,1,1,2,1,11.53
MECH,7.43,80,68,1,1,4,1,7.35
ECE,6.75,85,50,0,0,3,0,4.66
ECE,7.59,78,60,1,0,4,1,8.13
MECH,6.86,88,76,1,1,7,0,8.49
ECE,8.15,77,58,0,1,4,1,7.97
MECH,9.03,82,40,2,0,5,1,12.56
MECH,6.91,83,65,0,0,2,1,6.62
CIVIL,8.32,69,66,0,0,5,1,8.16
CSE,6.42,80,70,1,4,5,1,10.9
MECH,8.73,60,88,1,2,5,1,10.89
EEE,8.17,76,70,1,3,2,1,11.24
IT,8.77,78,73,0,0,3,1,7.42
CSE,7.69,84,85,1,3,7,1,10.49
CSE,7.41,81,70,1,0,3,1,7.12
CSE,8.53,84,100,0,1,7,1,7.13
CIVIL,6.62,70,51,3,2,3,1,12.43
MECH,6.23,67,55,1,0,4,0,5.75
CIVIL,7.8,68,79,0,1,4,1,8.58
MECH,7.45,75,88,1,0,2,1,7.5
CIVIL,8.3,50,66,0,0,2,0,5.61
CIVIL,8.78,87,54,0,1,3,1,7.44
IT,8.28,72,96,0,1,4,1,8.19
EEE,8.71,67,58,3,2,6,1,13.65
CIVIL,8.09,41,75,0,1,4,1,8.28
IT,8.25,71,89,1,1,4,1,8.58
ECE,7.7,69,63,0,0,6,1,6.74
EEE,8.22,61,60,1,0,4,1,9.32
CIVIL,7.95,63,61,1,4,3,1,11.31
CSE,8.09,71,83,1,0,2,1,9.05
ECE,7.65,64,85,0,1,7,1,7.13
ECE,8.53,78,70,1,0,3,1,8.99
IT,7.16,63,98,3,1,3,1,12.67
ECE,7.78,73,70,1,1,3,1,8.69
EEE,8.98,86,89,0,0,6,1,9.11
CIVIL,6.95,71,63,2,0,3,1,9.27
CIVIL,5.85,76,100,0,1,6,0,6.77
CSE,8.13,75,93,1,0,4,1,8.68
IT,7.57,72,68,2,0,2,1,8.47
CSE,8.71,71,91,0,1,3,1,7.48
ECE,7.68,65,90,0,0,4,1,6.87
CSE,7.26,73,93,0,2,4,0,6.15
EEE,7.73,68,40,1,1,4,0,8.74
CIVIL,8.78,90,80,1,0,3,1,9.6
ECE,8.32,81,78,0,1,2,1,6.87
CSE,5.61,54,77,0,1,4,0,5.09
IT,7.97,55,73,0,0,5,1,7.94
EEE,8.01,70,73,0,1,1,1,7.18
EEE,7.78,67,89,0,0,7,1,6.5
CSE,7.25,69,78,2,0,1,1,8.96
CIVIL,8.88,79,73,0,0,4,1,8.28
CSE,8.92,75,87,2,0,5,1,11.8
ECE,5.82,75,76,1,0,3,1,6.23
CSE,7.08,89,77,0,1,1,1,5.92
EEE,7.67,55,98,1,1,4,1,9.03
CSE,8.65,73,63,1,1,4,1,9.48
CIVIL,7.83,65,47,0,2,2,1,7.48
IT,7.18,89,71,0,2,2,1,8.22
MECH,8.44,45,73,0,1,6,1,8.51
CSE,7.61,46,80,0,1,4,0,8.07
CIVIL,7.69,75,71,0,0,1,1,5.86
CIVIL,7.78,85,81,0,2,5,1,7.69
IT,8.32,81,100,0,0,2,1,6.64
EEE,7.52,62,82,0,0,2,0,5.91
CIVIL,8.42,90,84,0,1,4,1,8.73
CIVIL,7.73,57,68,0,0,4,0,8.69
CIVIL,6.84,87,49,0,0,3,1,5.45
CIVIL,7.77,58,40,3,1,3,0,11.54
ECE,6.89,67,62,0,1,3,0,4.74
ECE,7.84,79,40,1,1,2,1,8.37
EEE,8.55,54,77,0,2,6,1,8.65
CSE,6.83,89,64,2,0,1,1,8.85
CIVIL,8.13,67,50,0,0,4,0,7.71
IT,7.05,73,71,2,1,1,1,9.15
CSE,7.98,85,58,1,0,6,1,10.0
IT,8.57,62,76,0,1,4,1,8.44
CSE,5.88,84,80,2,0,2,1,9.05
EEE,6.8,91,59,1,1,5,1,8.86
CIVIL,7.47,64,66,0,1,1,0,6.88
CIVIL,8.08,88,73,1,1,5,1,8.74
MECH,7.65,50,48,2,1,6,1,10.54
IT,7.76,76,73,0,1,4,1,7.79
CSE,9.64,57,48,0,0,3,1,7.53
CSE,6.71,83,78,1,0,2,1,6.25
ECE,8.82,82,63,1,0,6,1,11.43
MECH,7.49,96,48,2,1,6,1,10.77
ECE,8.29,89,61,1,0,3,1,7.99
ECE,9.72,70,61,0,1,3,1,9.99
ECE,8.42,59,86,2,0,6,1,13.46
IT,8.14,78,72,0,1,5,1,7.52
IT,9.24,71,55,0,2,1,0,9.87
EEE,8.81,90,94,1,0,4,1,9.13
EEE,7.08,46,79,1,0,4,0,7.71
ECE,8.07,98,64,0,0,4,0,7.12
MECH,6.25,78,46,1,1,4,0,6.78
CSE,7.31,62,63,0,1,3,0,7.28
IT,8.08,80,66,0,0,4,1,5.97
MECH,7.26,87,75,1,1,3,1,8.47
CIVIL,8.05,73,79,0,0,10,1,9.81
IT,7.79,50,82,0,1,4,0,8.08
IT,8.28,68,45,0,1,4,1,8.43
EEE,7.42,84,73,2,1,8,1,13.07
CSE,6.95,77,67,0,0,1,0,4.77
CSE,9.13,70,100,0,2,4,1,8.44
CIVIL,7.35,87,70,1,1,2,1,8.23
CIVIL,8.39,80,60,0,0,5,1,7.77
IT,9.09,81,71,0,0,3,1,6.42
ECE,7.95,67,69,1,1,5,1,8.84
EEE,7.03,65,40,0,2,5,0,6.43
EEE,7.64,51,76,3,2,6,1,13.22
IT,8.72,68,65,0,1,5,1,8.58
MECH,7.99,83,69,0,2,4,1,8.03
ECE,6.72,69,56,0,0,1,0,4.04
IT,8.34,77,53,0,0,6,1,7.1
ECE,8.49,85,83,1,3,7,1,12.49
ECE,7.48,76,86,0,2,2,0,7.17
ECE,8.35,77,76,0,1,5,1,8.54
IT,8.02,55,42,1,2,2,0,10.95
EEE,7.62,68,77,1,3,4,1,10.38
EEE,6.64,92,43,0,2,5,1,6.67
ECE,8.77,73,60,0,2,3,1,8.84
MECH,8.48,94,82,0,2,4,1,8.96
CSE,8.33,63,79,0,0,6,1,8.58
IT,9.19,74,76,0,2,4,1,9.69
CSE,8.65,67,89,1,0,3,1,7.83
MECH,8.42,79,78,2,2,2,1,11.45
IT,5.81,82,40,0,1,3,0,4.77
ECE,8.88,79,64,0,1,2,1,9.2
EEE,7.87,84,69,0,1,3,1,6.62
CSE,8.08,71,67,0,0,3,1,5.59
CIVIL,8.09,69,60,0,0,6,1,7.86
CIVIL,8.5,50,54,2,4,4,1,14.39
MECH,8.81,79,100,1,3,9,1,12.86
ECE,8.37,74,64,3,0,1,1,13.95
CSE,8.23,71,100,2,4,5,1,15.39
ECE,8.01,69,52,0,2,3,1,7.95
CSE,5.0,71,79,1,1,2,0,5.45
MECH,7.54,69,73,0,0,4,1,7.64
MECH,6.95,65,56,0,3,4,0,7.57
CIVIL,8.89,74,62,2,1,6,1,12.32
ECE,8.36,77,69,0,2,4,1,9.44
IT,7.39,62,57,2,2,3,1,11.24
CIVIL,7.48,67,66,0,2,5,1,7.33
ECE,7.45,69,40,2,1,4,1,10.86
CIVIL,7.43,72,80,2,0,2,1,9.29
IT,6.5,70,88,1,0,4,1,6.79
EEE,6.3,79,76,1,0,4,1,6.24
EEE,7.83,52,100,0,0,4,0,6.99
EEE,8.77,54,80,1,1,5,1,10.51
EEE,7.32,74,87,2,1,3,1,10.41
CSE,8.07,64,88,1,2,5,1,11.14
EEE,8.46,82,40,1,0,4,1,9.64
IT,6.91,86,76,1,1,4,1,8.39
MECH,7.78,74,49,1,0,4,1,8.21
MECH,7.2,59,52,1,0,8,1,10.08
CSE,9.25,84,54,1,0,6,1,10.32
EEE,9.21,74,65,1,1,5,1,9.96
EEE,6.91,54,79,0,0,2,0,4.33
EEE,8.15,55,76,0,1,3,1,8.4
CIVIL,8.76,90,69,0,0,7,1,9.28
ECE,8.56,88,80,0,2,3,1,9.73
CIVIL,7.87,41,81,0,2,4,0,7.09
ECE,8.98,55,76,1,3,4,1,13.73
EEE,6.99,85,44,0,2,5,0,7.16
EEE,7.53,71,58,0,3,3,1,6.62
CIVIL,7.01,80,70,1,2,4,1,10.67
CIVIL,8.5,71,81,2,1,3,1,10.56
ECE,7.28,79,50,1,0,7,1,8.61
MECH,7.65,72,69,3,0,3,1,11.61
ECE,8.36,66,46,1,0,6,0,10.28
CIVIL,8.43,84,85,0,1,3,1,7.28
IT,6.98,74,73,1,1,2,1,8.51
CIVIL,8.75,79,49,1,2,3,1,11.3
IT,8.21,73,49,0,3,1,1,8.27
CSE,6.83,66,75,0,1,5,0,7.65
CIVIL,6.61,91,90,1,1,2,1,7.17
CSE,7.79,76,53,0,3,3,1,8.12
MECH,8.57,67,81,1,0,6,1,11.78
ECE,8.59,87,61,0,2,5,1,9.54
IT,8.12,56,82,1,0,1,1,7.36
ECE,7.84,98,80,1,1,5,1,8.93
CSE,8.26,69,72,0,0,6,1,8.03
IT,7.03,56,42,0,2,3,0,4.92
ECE,9.32,94,80,1,1,5,1,10.88
CIVIL,9.31,66,77,1,0,2,1,9.79
EEE,8.19,74,76,2,0,5,1,11.09
CSE,7.98,80,72,0,1,4,1,6.67
ECE,7.43,86,56,1,3,5,0,9.96
CSE,8.28,75,86,0,2,5,1,9.87
CSE,7.18,64,83,0,1,1,0,6.59
IT,5.8,74,53,0,0,4,0,4.53
IT,5.36,66,89,1,1,7,1,7.17
EEE,7.08,74,71,0,1,1,0,5.57
CIVIL,7.94,91,71,0,2,6,1,9.02
CSE,8.1,81,67,1,0,7,1,10.0
ECE,7.36,74,68,1,1,1,0,8.09
MECH,7.93,80,90,0,1,3,1,7.71
CSE,7.55,81,85,0,3,5,1,7.69
CSE,6.9,59,85,0,3,2,0,6.73
EEE,7.75,72,72,0,2,7,1,9.06
CIVIL,8.53,100,83,1,1,6,1,9.97
MECH,6.94,86,57,0,0,1,0,4.39
IT,6.94,65,78,1,2,3,1,8.36
IT,6.84,64,67,2,1,6,1,10.37
ECE,6.06,64,40,0,0,5,0,5.24
MECH,7.37,82,46,3,0,8,1,12.26
IT,8.44,91,60,0,2,2,1,9.01
ECE,7.96,78,76,0,0,7,0,7.81
CIVIL,7.65,73,60,0,1,2,0,6.79
ECE,7.92,66,61,0,1,5,1,7.6
IT,7.36,75,81,0,0,6,1,7.12
EEE,6.05,62,61,0,0,1,0,5.19
EEE,8.51,48,89,1,2,6,1,11.0
EEE,8.76,91,87,2,2,7,1,13.28
IT,7.14,59,70,1,0,6,1,7.81
EEE,7.66,68,81,0,2,8,1,9.05
MECH,7.59,79,79,1,2,6,1,10.15
CIVIL,8.12,89,66,1,1,3,1,9.38
ECE,9.32,75,82,1,1,6,1,12.06
ECE,8.84,57,85,1,3,3,1,11.69
IT,7.46,68,55,2,1,4,1,10.63
EEE,8.29,63,72,0,0,6,1,9.61
EEE,8.93,71,72,1,3,5,1,12.67
CSE,8.17,86,82,0,1,7,1,7.93
CIVIL,7.8,41,63,3,0,9,1,12.52
MECH,8.2,67,61,0,1,2,0,6.79
ECE,7.17,66,72,0,1,3,1,6.52
CSE,7.3,56,87,0,2,5,1,7.13
CSE,6.84,79,52,1,1,3,1,7.31
IT,8.08,55,54,0,0,4,1,7.21
ECE,7.68,56,62,0,1,6,0,7.64
IT,7.06,82,64,2,1,5,1,8.83
MECH,7.65,90,43,2,0,4,1,11.14
CSE,8.22,71,92,0,1,4,1,8.64
CSE,9.52,57,68,0,2,4,1,9.1
CIVIL,8.71,63,65,1,0,7,1,10.7
MECH,5.74,84,94,2,1,7,1,8.6
CSE,8.02,73,80,1,0,6,1,9.03
MECH,9.09,70,61,1,0,2,1,9.99
ECE,6.6,75,72,0,0,3,1,5.76
EEE,8.3,71,69,1,0,4,1,9.88
CSE,7.59,90,91,1,2,2,1,9.2
CIVIL,8.84,63,67,1,0,4,1,10.92
ECE,8.16,61,48,0,1,4,1,7.41
MECH,7.0,55,41,2,0,6,1,9.79
IT,7.62,65,92,1,3,3,1,7.87
ECE,7.67,58,58,0,1,6,0,7.83
CSE,7.69,74,80,1,1,2,1,8.99
MECH,8.81,72,71,1,0,2,1,9.5
EEE,7.04,59,63,1,1,3,0,7.55
ECE,8.7,79,66,1,0,4,1,10.42
CSE,7.53,90,93,1,3,1,1,9.17
CIVIL,8.0,76,48,2,1,5,1,12.21
IT,7.87,41,64,0,1,7,1,8.83
MECH,7.78,95,83,0,1,5,1,8.88
ECE,7.79,80,50,0,0,4,0,7.12
ECE,9.11,95,89,1,1,2,1,10.72
EEE,8.56,85,83,1,1,1,1,9.21
EEE,7.47,87,74,2,1,1,1,9.37
CIVIL,9.22,74,62,1,1,4,1,11.36
IT,8.05,68,48,1,0,8,0,11.36
CIVIL,8.12,76,80,3,0,1,1,11.25
CSE,7.05,63,100,0,2,5,1,7.26
CSE,7.35,77,72,1,1,3,1,8.44
CIVIL,7.18,40,42,0,1,3,0,6.96
IT,7.88,72,76,1,3,2,1,10.23
CIVIL,8.37,88,82,1,0,1,1,9.18
IT,8.13,73,56,1,2,4,1,11.84
IT,9.23,92,60,0,4,5,1,10.76
MECH,7.0,68,58,0,2,5,0,7.89
IT,7.9,84,62,1,2,1,1,9.34
EEE,6.65,61,67,1,0,6,0,7.89
IT,6.97,83,57,0,0,6,0,6.95
IT,8.94,74,51,2,1,5,1,12.51
IT,7.38,69,72,0,0,3,0,6.32
CSE,7.08,41,67,1,0,5,0,7.05
EEE,5.88,68,63,1,2,4,0,7.13
EEE,7.07,74,71,1,0,6,1,9.22
CIVIL,7.62,81,47,2,3,3,1,12.55
MECH,6.58,90,73,1,2,4,1,8.6
IT,7.56,96,63,1,2,1,1,8.31
ECE,8.94,86,73,0,2,5,1,10.39
MECH,7.16,65,75,0,2,3,0,7.99
MECH,6.95,68,86,0,2,5,1,7.01
EEE,6.79,80,71,1,1,6,0,7.48
MECH,6.77,78,86,0,0,3,1,5.69
IT,8.28,91,65,0,2,4,1,9.37
IT,7.84,100,65,0,2,4,1,8.58
CSE,8.66,99,68,0,1,5,1,10.05
IT,9.62,89,81,0,0,6,1,10.9
IT,6.15,78,79,2,1,5,1,9.14
EEE,8.14,88,72,1,0,3,1,8.93
IT,6.79,91,51,1,3,7,1,9.75
CSE,8.51,70,79,1,3,6,1,11.09
ECE,7.56,65,57,0,0,7,0,6.7
EEE,7.82,62,56,2,1,5,1,11.96
ECE,6.65,61,52,0,0,5,0,6.02
EEE,7.42,55,68,0,1,4,1,7.71
CIVIL,7.88,74,88,1,0,3,1,10.48
MECH,9.02,60,55,0,1,6,1,9.92
CIVIL,7.08,62,95,1,0,5,1,7.47
IT,7.3,80,83,0,0,4,1,7.09
ECE,8.65,74,48,1,1,2,1,9.03
IT,7.03,77,64,0,0,7,0,8.23
MECH,8.83,88,54,0,1,4,1,7.12
EEE,7.79,82,79,1,0,2,1,7.61
MECH,8.07,90,55,0,1,4,1,8.29
CSE,8.13,72,45,0,2,4,1,9.4
MECH,7.25,91,65,0,2,4,0,6.85
CSE,8.15,76,87,1,2,5,0,9.89
MECH,7.1,74,67,1,3,4,1,9.74
CSE,7.35,89,75,0,0,3,1,7.54
ECE,8.3,61,76,2,0,7,1,10.73
IT,8.06,96,47,2,1,1,1,10.23
IT,7.73,68,56,1,2,4,0,9.99
CIVIL,6.67,57,70,1,3,6,1,9.06
IT,6.89,79,61,0,0,5,1,5.43
EEE,8.05,67,95,1,0,6,1,9.37
MECH,8.46,96,51,0,0,8,1,9.08
CIVIL,6.8,66,56,0,2,7,0,7.61
EEE,7.04,75,74,3,1,2,1,12.53
EEE,7.92,54,60,1,0,1,0,8.38
CSE,7.9,81,40,0,1,5,1,8.19
IT,6.34,62,99,0,1,1,0,5.63
ECE,7.95,80,53,1,2,1,1,9.46
ECE,7.26,66,78,0,0,5,0,6.16
CIVIL,9.28,47,51,0,2,5,1,9.92
ECE,8.02,73,57,0,1,7,1,7.73
MECH,8.18,73,45,0,2,6,1,10.72
ECE,8.2,82,58,1,2,8,1,12.29
CIVIL,6.71,90,60,0,0,5,1,3.8
ECE,9.55,94,68,1,0,2,1,11.23
MECH,6.34,82,64,0,1,6,1,5.13
CSE,8.52,75,48,1,0,7,1,10.84
CIVIL,8.36,54,62,3,2,5,1,12.66
CSE,7.37,74,91,1,1,7,1,9.3
CSE,8.4,74,89,2,2,4,1,13.45
CSE,7.51,69,76,2,0,5,1,11.53
EEE,7.19,79,79,0,0,4,1,6.38
IT,8.22,85,100,1,1,9,1,11.9
EEE,6.89,62,78,2,0,6,1,8.84
IT,7.6,61,79,0,1,2,1,7.05
CSE,7.27,70,46,0,2,8,1,9.3
CIVIL,7.5,64,53,2,1,3,0,12.45
IT,8.19,52,69,1,2,4,1,9.83
MECH,7.27,60,57,0,0,5,0,6.53
MECH,7.63,57,55,0,0,5,0,7.01
ECE,7.35,86,56,1,3,5,1,10.78
IT,9.1,92,48,1,4,2,1,12.72
CIVIL,8.11,58,58,1,1,5,1,10.78
EEE,8.0,78,75,1,3,6,1,12.09
CSE,8.42,82,96,1,1,6,1,9.41
ECE,7.27,54,81,1,0,1,0,5.03
MECH,8.57,73,79,1,0,3,1,8.88
EEE,8.11,100,45,1,3,2,1,10.21
EEE,6.4,80,71,1,0,5,1,6.78
CSE,6.51,69,68,0,1,1,0,4.65
IT,7.28,65,74,0,1,2,0,5.97
MECH,6.61,47,64,3,1,3,0,11.6
CIVIL,7.59,77,94,0,1,1,1,5.48
EEE,6.89,95,70,0,0,4,1,5.7
CSE,7.71,62,72,0,0,1,0,5.8
CIVIL,9.07,48,40,1,1,5,1,11.53
IT,7.76,64,68,0,1,3,1,8.04
MECH,7.53,82,87,0,1,3,1,8.18
IT,8.15,66,78,0,1,3,1,6.98
EEE,7.17,62,40,1,0,4,1,6.31
CIVIL,8.56,72,63,0,2,5,1,9.08
CIVIL,8.25,74,95,0,1,7,1,7.62
CIVIL,7.83,55,67,0,0,6,0,9.69
EEE,7.94,69,74,2,1,8,1,11.73
EEE,9.64,66,94,0,2,5,1,11.02
IT,8.65,64,67,0,2,4,1,9.82
ECE,9.78,59,81,1,0,3,1,11.01
IT,8.28,83,76,2,1,3,1,13.0
MECH,6.48,64,79,1,0,5,1,7.21
CSE,7.56,48,75,3,0,2,1,10.71
CIVIL,6.27,75,61,1,1,4,0,6.71
ECE,8.28,80,63,0,1,4,1,8.63
CSE,8.47,62,57,1,2,3,1,10.21
ECE,7.0,65,45,0,0,2,0,4.59
IT,7.21,64,88,1,0,9,1,9.8
EEE,7.93,67,70,0,1,1,0,7.29
CIVIL,6.72,85,87,0,0,4,1,5.78
IT,6.65,70,93,2,0,6,1,10.4
CSE,8.91,82,70,0,0,5,1,8.57
CSE,7.9,60,50,2,1,3,1,10.41
CSE,7.3,67,67,0,0,2,0,6.31
CSE,6.28,83,59,0,1,4,0,4.92
CSE,8.57,62,40,2,0,1,1,9.58
ECE,7.18,84,62,1,0,4,1,8.85
IT,9.47,64,68,1,1,4,1,10.99
CIVIL,8.57,68,60,0,0,6,1,9.72
EEE,7.07,92,58,1,1,2,1,8.47
EEE,7.16,66,50,1,0,3,0,7.25
IT,9.35,73,72,1,1,5,1,11.81
IT,7.72,79,98,0,0,4,1,8.79
EEE,7.34,74,89,2,0,1,1,9.61
EEE,7.82,75,79,1,1,3,1,9.46
ECE,7.33,71,80,2,3,7,1,12.12
MECH,8.02,56,68,1,0,5,0,10.7
CIVIL,7.73,76,42,1,1,1,1,9.33
CSE,8.59,63,64,0,1,6,1,8.54
MECH,7.45,81,55,0,1,1,1,7.64
IT,7.0,88,72,2,2,3,0,10.54
EEE,7.49,50,88,0,0,5,1,6.11
MECH,7.48,88,99,0,3,6,1,8.4
CIVIL,7.73,67,70,0,0,1,1,6.58
IT,8.37,70,44,0,0,5,0,7.18
CSE,8.32,61,70,2,2,6,1,12.0
CSE,8.88,74,71,2,1,3,1,11.7
CIVIL,7.07,72,80,0,1,4,1,6.35
CIVIL,8.15,84,69,0,1,1,1,6.44
EEE,8.45,63,70,1,1,1,0,8.78
CSE,7.19,91,60,1,0,6,1,9.27
IT,7.61,79,65,3,1,3,1,12.54
MECH,6.23,73,77,1,0,3,0,6.06
